keys,en
AWARDED,AWARDED\r\n
BALL_EATEN,BALL EATEN
BARREL_MBALL,\n\r\n\rBARREL MULTIBALL\r\nROUND
BARREL_MBALL_STARTED,\n\r\n\rBARREL MULTIBALL\r\n
BARREL_HOOKED,BARRELS\r\nHOOKED
BARREL_MBALL_SHORT,BARREL\r\nMULTI-BALL
BARREL_TARGETS,HIT TARGETS\n\rTO ADVANCE
BRUCE_MBALL,BRUCE\r\nMULTIBALL
BRUCE_LOCK,BRUCE LOCK
LOOPS,LOOPS
KICKBACK,KICKBACK
ORCA_ACTIVE,RAMP\r\nACTIVE
ORCA_LOCK,ORCA LOCK
ORCA_RAMPS,ORCA RAMPS
ORCA_INFO,TARGET\r\nACTIVATES ORCA
ORCA_MBALL,ORCA\r\nMULTIBALL
ORCA_OPEN,\r\nORCA RAMP\r\nOPEN
SHOOT_TARG_L,SHOOT\r\nLEFT TARGET
SHOOT_TARG_R,SHOOT\r\nRIGHT TARGET
SHOOT_SHARK,SHOOT\r\nSHARK
SUPER_JACKPOT,SUPER JACKPOT
SUPER_READY,SUPER\r\nIS READY
