keys,en
SPEC_10_MIL,SPECIAL 10 MILLION
TWO_WHEELS,TWO_WHEELS
JUMP_SCORED,JUMP SCORED
JACKPOT,JACKPOT
KARR_FAILED,KARR FAILED
BRIDGE_RAMPS,BRIDGE RAMPS
KARR_DEFEATED,KARR DEFEATED
KARR_LANE_COMPLETEKARR LANE COMPLETE,CELLAR OPENED
RAMP_VAL,RAMP VALUE {VAL} MILLION
RAMP_VAL_250,RAMP VALUE\n250K
TURBO_VAL,TURBO {VAL} MILL
VIDEO_LIT,VIDEO MODE LIT
COMPLETE,COMPLETE
KICKBACK_LIT,KICKBACK AND SPECIAL\nLIT
TRUCK_LOCK,ROLL INTO TRUCK\nLOCK {VAL}
BALL_LOCKED,BALL {VAL} LOCKED
TRUCK_INIT,TRUCK INITIATED
KITT_RAMP,AWARDED\nRAMP SCORES JACKPOT
DEFEAT_KARR,DEFEAT KARR\n{VAL} SECONDS REMAIN
SUPER_PURS_MULTI,SUPER PURSUIT MULTIBALL\nBALL COUNT\nINCREASES JACKPOTS
